2025-02-24 09:43:43,349 | INFO | main.py:56 | main | Initializing components...
2025-02-24 09:43:51,032 | ERROR | publisher.py:13 | __init__ | Failed to connect to WordPress: unsupported XML-RPC protocol
2025-02-24 09:43:51,032 | ERROR | main.py:99 | main | Critical failure: unsupported XML-RPC protocol
2025-02-24 09:46:34,923 | INFO | main.py:56 | main | Initializing components...
2025-02-24 09:46:40,592 | ERROR | publisher.py:13 | __init__ | Failed to connect to WordPress: unsupported XML-RPC protocol
2025-02-24 09:46:40,592 | ERROR | main.py:99 | main | Critical failure: unsupported XML-RPC protocol
2025-02-24 10:19:24,068 | INFO | main.py:56 | main | Initializing components...
2025-02-24 10:19:29,580 | ERROR | publisher.py:13 | __init__ | Failed to connect to WordPress: unsupported XML-RPC protocol
2025-02-24 10:19:29,580 | ERROR | main.py:99 | main | Critical failure: unsupported XML-RPC protocol
2025-02-24 10:20:55,747 | INFO | main.py:56 | main | Initializing components...
2025-02-24 10:21:02,340 | ERROR | publisher.py:81 | __init__ | WordPress connection failed: 'NoneType' object has no attribute 'endswith'
2025-02-24 10:21:02,341 | ERROR | main.py:99 | main | Critical failure: 'NoneType' object has no attribute 'endswith'
2025-02-24 10:34:54,466 | INFO | main.py:58 | main | Initializing components...
2025-02-24 10:34:59,851 | INFO | main.py:63 | main | Starting hierarchical web crawling...
2025-02-24 10:35:16,435 | INFO | main.py:65 | main | Processed 4 raw articles
2025-02-24 10:35:17,707 | ERROR | main.py:90 | main | Failed to process article: WordPressPublisher.publish() got an unexpected keyword argument 'image'
2025-02-24 10:35:18,872 | ERROR | main.py:90 | main | Failed to process article: WordPressPublisher.publish() got an unexpected keyword argument 'image'
2025-02-24 10:35:20,118 | ERROR | main.py:90 | main | Failed to process article: WordPressPublisher.publish() got an unexpected keyword argument 'image'
2025-02-24 10:35:21,624 | ERROR | main.py:90 | main | Failed to process article: WordPressPublisher.publish() got an unexpected keyword argument 'image'
2025-02-24 10:35:21,624 | INFO | main.py:93 | main | Successfully published 0/4 articles
2025-02-24 10:41:12,237 | INFO | main.py:58 | main | Initializing components...
2025-02-24 10:41:18,953 | INFO | main.py:63 | main | Starting hierarchical web crawling...
2025-02-24 10:41:33,503 | INFO | main.py:65 | main | Processed 4 raw articles
2025-02-24 10:42:02,131 | INFO | main.py:93 | main | Successfully published 0/4 articles
2025-02-24 10:58:45,069 | INFO | main.py:58 | main | Initializing components...
2025-02-24 10:58:51,314 | INFO | main.py:63 | main | Starting hierarchical web crawling...
2025-02-24 10:59:02,861 | INFO | main.py:65 | main | Processed 4 raw articles
2025-02-24 10:59:30,909 | INFO | main.py:93 | main | Successfully published 0/4 articles
2025-02-24 11:04:15,411 | INFO | main.py:58 | main | Initializing components...
2025-02-24 11:04:21,849 | ERROR | main.py:96 | main | Critical failure: 'NoneType' object has no attribute 'split'
2025-02-24 11:09:55,343 | INFO | main.py:58 | main | Initializing components...
2025-02-24 11:10:01,509 | INFO | main.py:63 | main | Starting hierarchical web crawling...
2025-02-24 11:10:16,713 | INFO | main.py:65 | main | Processed 4 raw articles
2025-02-24 11:10:45,002 | INFO | main.py:93 | main | Successfully published 0/4 articles
2025-02-24 15:06:26,741 | INFO | main.py:58 | main | Initializing components...
2025-02-24 15:06:33,598 | INFO | main.py:63 | main | Starting hierarchical web crawling...
2025-02-24 15:06:47,972 | INFO | main.py:65 | main | Processed 4 raw articles
2025-02-24 15:07:17,983 | INFO | main.py:93 | main | Successfully published 0/4 articles
